legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
Rosene_2,rosene2,rosene,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0385_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0385_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/pdf/rosene2.pdf,"Daily field checking list by Walter Rosene, May 3, 1936",https://n2t.net/ark:/87292/w9pc6k,,7527,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Rosene, Walter M., Sr., 1880-1941",http://id.loc.gov/authorities/names/no2022002853,Ornithologists; Conservationists,http://id.loc.gov/authorities/demographicTerms/dg2016060203; http://id.loc.gov/authorities/demographicTerms/dg2016060345,Iowa Ornithologists' Union,http://id.loc.gov/authorities/names/no99028917,,,,,"Rosene, Walter, Jr., 1912-2005",http://id.loc.gov/authorities/names/n88119950,,,"Daily field checking list of birds observed in Boone County by Walter Rosene and Walter Rosene Jr., May 3, 1936.",,eng,,,,,,Bird watching;Turkey Vulture (Cathartes aura);White-breasted Nuthatch (Sitta carolinensis);Blue-gray Gnatcatcher (Polioptila caerulea);Black-and-white Warbler (Mniotilta varia);Rose-breasted Grosbeak (Pheucticus ludovicianus);Palm Warbler (Setophaga palmarum);Lesser Yellowlegs (Tringa flavipes);Ovenbird (Seiurus aurocapilla);American Coot (Fulica americana);Northern Shoveler (Anas clypeata),http://id.worldcat.org/fast/832948;https://www.gbif.org/species/2481930;https://www.gbif.org/species/2484892;https://www.gbif.org/species/2487596;https://www.gbif.org/species/2489613;https://www.gbif.org/species/2490494;https://www.gbif.org/species/7341822;https://www.gbif.org/species/2481721;https://www.gbif.org/species/2489590;https://www.gbif.org/species/2474393;https://www.gbif.org/species/2498089,Boone County,https://www.geonames.org/4849058,42.03655,-93.93167,WGS 84,,,,4 pages,,,checklists;field notes,http://vocab.getty.edu/aat/300027123;http://vocab.getty.edu/aat/300027201,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1936-05-03,2018-03-27,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,Avian Archives of Iowa Online (avIAn),https://avian.lib.iastate.edu,reformatted digital; Digitized with Plustek--flatbed,
Rosene_0,rosene0,rosene,child,rosene2,1,MS589b012f001i0385.tif,ms589b012f001i0385.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b012f001i0385.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0385_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0385_th.jpg,,,,,Page 1,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_1,rosene1,rosene,child,rosene2,2,MS589b012f001i0386.tif,ms589b012f001i0386.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b012f001i0386.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0386_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0386_th.jpg,,,,,Page 2,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_5,rosene5,rosene,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0153_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0153_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/pdf/rosene5.pdf,"Daily field checking list by Walter Rosene, February 18, 1940",https://n2t.net/ark:/87292/w9k27x,,7410,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Rosene, Walter M., Sr., 1880-1941",http://id.loc.gov/authorities/names/no2022002853,Ornithologists; Conservationists,http://id.loc.gov/authorities/demographicTerms/dg2016060203; http://id.loc.gov/authorities/demographicTerms/dg2016060345,Iowa Ornithologists' Union,http://id.loc.gov/authorities/names/no99028917,,,,,"Walker, Bob",,,,"Daily field checking list of birds observed in Boone County by Walter Rosene and Robert Walker, February 18, 1940. Also notes the birds were very scarce.",,eng,,,,,,Bird watching;Weather;Rough-legged Hawk (Buteo lagopus);American Kestrel (Falco sparverius);American Crow (Corvus brachyrhynchos);Blue Jay (Cyanocitta cristata);House Sparrow (Passer domesticus);Downy Woodpecker (Dendrocopos pubescens);Hairy Woodpecker (Picoides villosus);Western Meadowlark (Sturnella neglecta);Dark-eyed Junco (Junco hyemalis);Horned Lark (Eremophila alpestris),http://id.worldcat.org/fast/832948;http://id.worldcat.org/fast/1173087;https://www.gbif.org/species/2480524;https://www.gbif.org/species/9685907;https://www.gbif.org/species/2482507;https://www.gbif.org/species/2482593;https://www.gbif.org/species/5231190;https://www.gbif.org/species/2477787;https://www.gbif.org/species/2477741;https://www.gbif.org/species/9596413;https://www.gbif.org/species/9362842;https://www.gbif.org/species/9415596,Boone County,https://www.geonames.org/4849058,42.03655,-93.93167,WGS 84,,,,4 pages,,,checklists;field notes,http://vocab.getty.edu/aat/300027123;http://vocab.getty.edu/aat/300027201,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1940-02-18,2018-03-21,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,Avian Archives of Iowa Online (avIAn),https://avian.lib.iastate.edu,reformatted digital; Digitized with Plustek--flatbed,
Rosene_3,rosene3,rosene,child,rosene5,1,MS589b012f001i0153.tif,ms589b012f001i0153.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b012f001i0153.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0153_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0153_th.jpg,,,,,Page 1,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_4,rosene4,rosene,child,rosene5,2,MS589b012f001i0154.tif,ms589b012f001i0154.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b012f001i0154.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0154_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0154_th.jpg,,,,,Page 2,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_8,rosene8,rosene,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0083_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0083_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/pdf/rosene8.pdf,"Daily field checking list by Walter Rosene, March 30, 1941",https://n2t.net/ark:/87292/w9fg52,,7372,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Rosene, Walter M., Sr., 1880-1941",http://id.loc.gov/authorities/names/no2022002853,Ornithologists; Conservationists,http://id.loc.gov/authorities/demographicTerms/dg2016060203; http://id.loc.gov/authorities/demographicTerms/dg2016060345,Iowa Ornithologists' Union,http://id.loc.gov/authorities/names/no99028917,,,,,"Walker, Bob",,,,"Daily field checking list of birds observed at Dunbar Slough by Walter Rosene and Robert Walker, March 30, 1941.",,eng,,,,,,Bird watching;Herring Gull (Larus argentatus);American Wigeon (Anas americana);Snow Goose (Chen caerulescens);Mallard (Anas platyrhynchos);Canada Goose (Branta canadensis);Lesser Scaup (Aythya affinis);Northern Shoveler (Anas clypeata);Greater White-fronted Goose (Anser albifrons);Great Blue Heron (Ardea herodias);Wilson's Snipe (Gallinago delicata),http://id.worldcat.org/fast/832948;https://www.gbif.org/species/2481139;https://www.gbif.org/species/2498154;https://www.gbif.org/species/2498165;https://www.gbif.org/species/9761484;https://www.gbif.org/species/5232437;https://www.gbif.org/species/2498257;https://www.gbif.org/species/2498089;https://www.gbif.org/species/2498017;https://www.gbif.org/species/9630752;https://www.gbif.org/species/2481817,Dunbar Slough,https://www.geonames.org/4854608,41.98736,-94.60575,WGS 84,,,,4 pages,,,checklists;field notes,http://vocab.getty.edu/aat/300027123;http://vocab.getty.edu/aat/300027201,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1941-03-30,2018-03-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,Avian Archives of Iowa Online (avIAn),https://avian.lib.iastate.edu,reformatted digital; Digitized with Plustek--flatbed,
Rosene_6,rosene6,rosene,child,rosene8,1,MS589b012f001i0083.tif,ms589b012f001i0083.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b012f001i0083.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0083_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0083_th.jpg,,,,,Page 1,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_7,rosene7,rosene,child,rosene8,2,MS589b012f001i0084.tif,ms589b012f001i0084.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b012f001i0084.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0084_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0084_th.jpg,,,,,Page 2,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_11,rosene11,rosene,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0353_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0353_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/pdf/rosene11.pdf,"Daily field checking list by Walter Rosene, March 22, 1936",https://n2t.net/ark:/87292/w99w02,,7511,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Rosene, Walter M., Sr., 1880-1941",http://id.loc.gov/authorities/names/no2022002853,Ornithologists; Conservationists,http://id.loc.gov/authorities/demographicTerms/dg2016060203; http://id.loc.gov/authorities/demographicTerms/dg2016060345,Iowa Ornithologists' Union,http://id.loc.gov/authorities/names/no99028917,,,,,"Walker, Bob;Rosene, Walter, Jr., 1912-2005",;http://id.loc.gov/authorities/names/n88119950,,,"Daily field checking list of birds observed in Boone County by Walter Rosene, Walter Rosene, Jr. and Bob Walker, March 22, 1936. Also notes they traveled to various ponds.",,eng,,,,,,Bird watching;Northern Flicker (Colaptes auratus);Killdeer (Charadrius vociferus);American Kestrel (Falco sparverius);Red-winged Blackbird (Agelaius phoeniceus);American Wigeon (Anas americana);American Tree Sparrow (Spizelloides arborea);Mallard (Anas platyrhynchos);Northern Pintail (Anas acuta);Green-winged Teal (Anas crecca);Dark-eyed Junco (Junco hyemalis),http://id.worldcat.org/fast/832948;https://www.gbif.org/species/2478259;https://www.gbif.org/species/2480320;https://www.gbif.org/species/9685907;https://www.gbif.org/species/9409198;https://www.gbif.org/species/2498154;https://www.gbif.org/species/7357320;https://www.gbif.org/species/9761484;https://www.gbif.org/species/2498112;https://www.gbif.org/species/8214667;https://www.gbif.org/species/9362842,Boone County,https://www.geonames.org/4849058,42.03655,-93.93167,WGS 84,,,,4 pages,,,checklists;field notes,http://vocab.getty.edu/aat/300027123;http://vocab.getty.edu/aat/300027201,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1936-03-22,2018-03-23,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,Avian Archives of Iowa Online (avIAn),https://avian.lib.iastate.edu,reformatted digital; Digitized with Plustek--flatbed,
Rosene_9,rosene9,rosene,child,rosene11,1,MS589b012f001i0353.tif,ms589b012f001i0353.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b012f001i0353.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0353_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0353_th.jpg,,,,,Page 1,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_10,rosene10,rosene,child,rosene11,2,MS589b012f001i0354.tif,ms589b012f001i0354.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b012f001i0354.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0354_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0354_th.jpg,,,,,Page 2,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_14,rosene14,rosene,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0185_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0185_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/pdf/rosene14.pdf,"Daily field checking list by Walter Rosene, June 11, 1939",https://n2t.net/ark:/87292/w95g5k,,7426,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Rosene, Walter M., Sr., 1880-1941",http://id.loc.gov/authorities/names/no2022002853,Ornithologists; Conservationists,http://id.loc.gov/authorities/demographicTerms/dg2016060203; http://id.loc.gov/authorities/demographicTerms/dg2016060345,Iowa Ornithologists' Union,http://id.loc.gov/authorities/names/no99028917,,,,,,,,,"Daily field checking list of birds observed at Ames and Ledges State Park by Walter Rosene, June 11, 1939. Also notes this is not a field trip but casual observations as he drove to Ledges State Park and Ames.",,eng,,,,,,Bird watching;Common Grackle (Quiscalus quiscula);Red-winged Blackbird (Agelaius phoeniceus);Loggerhead Shrike (Lanius ludovicianus);Ruby-throated Hummingbird (Archilochus colubris);Brown Thrasher (Toxostoma rufum);Black-capped Chickadee (Poecile atricapillus);Western Meadowlark (Sturnella neglecta);American Robin (Turdus migratorius);Mourning Dove (Zenaida macroura);Barn Swallow (Hirundo rustica),http://id.worldcat.org/fast/832948;https://www.gbif.org/species/2484155;https://www.gbif.org/species/9409198;https://www.gbif.org/species/2492870;https://www.gbif.org/species/5228514;https://www.gbif.org/species/9479809;https://www.gbif.org/species/2487805;https://www.gbif.org/species/9596413;https://www.gbif.org/species/9510564;https://www.gbif.org/species/2495347;https://www.gbif.org/species/9515886,Ames;Ledges State Park,https://www.geonames.org/4846834;https://www.geonames.org/4864384,42.03471; 41.9922,-93.61994; -93.87378,WGS 84,,,,4 pages,,,checklists;field notes,http://vocab.getty.edu/aat/300027123;http://vocab.getty.edu/aat/300027201,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1939-06-11,2018-03-21,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,Avian Archives of Iowa Online (avIAn),https://avian.lib.iastate.edu,reformatted digital; Digitized with Plustek--flatbed,
Rosene_12,rosene12,rosene,child,rosene14,1,MS589b012f001i0185.tif,ms589b012f001i0185.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b012f001i0185.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0185_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0185_th.jpg,,,,,Page 1,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_13,rosene13,rosene,child,rosene14,2,MS589b012f001i0186.tif,ms589b012f001i0186.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b012f001i0186.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0186_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0186_th.jpg,,,,,Page 2,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_17,rosene17,rosene,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b012f001i0081_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b012f001i0081_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/pdf/rosene17.pdf,"Daily field checking list by Walter Rosene, March 30, 1941",https://n2t.net/ark:/87292/w91w1z,,7371,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Rosene, Walter M., Sr., 1880-1941",http://id.loc.gov/authorities/names/no2022002853,Ornithologists; Conservationists,http://id.loc.gov/authorities/demographicTerms/dg2016060203; http://id.loc.gov/authorities/demographicTerms/dg2016060345,Iowa Ornithologists' Union,http://id.loc.gov/authorities/names/no99028917,,,,,"Walker, Bob",,,,"Daily field checking list of birds observed in Boone County by Walter Rosene and Robert Walker, March 30, 1941. Also notes a female Red-shouldered Hawk sitting on a nest.",,eng,,,,,,Bird watching;Killdeer (Charadrius vociferus);Red-shouldered Hawk (Buteo lineatus);Red-tailed Hawk (Buteo jamaicensis);Song Sparrow (Melospiza melodia);Eastern Phoebe (Sayornis phoebe);Lesser Yellowlegs (Tringa flavipes);Belted Kingfisher (Megaceryle alcyon);Tufted Titmouse (Baeolophus bicolor);Mourning Dove (Zenaida macroura);American Goldfinch (Spinus tristis),http://id.worldcat.org/fast/832948;https://www.gbif.org/species/2480320;https://www.gbif.org/species/2480529;https://www.gbif.org/species/2480542;https://www.gbif.org/species/2492196;https://www.gbif.org/species/2483606;https://www.gbif.org/species/2481721;https://www.gbif.org/species/2475472;https://www.gbif.org/species/2487887;https://www.gbif.org/species/2495347;https://www.gbif.org/species/5231640,Boone County,https://www.geonames.org/4849058,42.03655,-93.93167,WGS 84,,,,4 pages,,,checklists;field notes,http://vocab.getty.edu/aat/300027123;http://vocab.getty.edu/aat/300027201,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1941-03-30,2018-03-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,Avian Archives of Iowa Online (avIAn),https://avian.lib.iastate.edu,reformatted digital; Digitized with Plustek--flatbed,
